accession,rohan_transposase_count,isescan_is_copies,isescan_complete,isescan_partial
NZ_CP101686.1,8,8,3,5
NZ_CP136505.1,5,10,6,4
NZ_CP013052.1,9,8,3,5
NZ_CP013053.1,13,20,11,9
NZ_CP013054.1,19,21,7,14
NZ_CP060667.1,12,10,9,1
NZ_CP021336.1,1,1,1,0
NZ_CP021337.1,7,13,2,11
NZ_CP039632.3,16,23,13,10
NZ_CP125736.1,16,22,13,9
NZ_CP028252.1,9,5,5,0
NZ_CP028253.1,2,2,2,0
NZ_CP039562.1,18,22,13,9
NZ_CP097171.1,21,22,16,6
NZ_CP097172.1,4,4,1,3
NZ_CP050261.1,1,3,0,3
NZ_CP016932.1,12,12,10,2
NZ_CP100543.1,5,5,3,2
NZ_CP096295.1,8,6,5,1
NZ_CP101539.1,6,8,5,3
NZ_CP062812.1,5,7,4,3
NZ_CP062813.1,3,7,3,4
NZ_CP062814.1,1,1,0,1
NZ_CP031354.1,17,18,9,9
NZ_CP142031.1,15,10,8,2
NZ_CP142032.1,2,1,1,0
NZ_CP021457.1,13,10,7,3
NZ_CP021458.1,1,0,0,0
NZ_CP021459.1,5,4,2,2
NZ_CP021460.1,1,0,0,0
NZ_CP021461.1,2,4,2,2
NZ_CP026146.1,1,1,1,0
NZ_CP026147.1,12,11,11,0
NZ_CP026148.1,3,4,1,3
NZ_CP015065.1,3,2,2,0
NZ_CP106895.1,19,16,10,6
NZ_CP106896.1,23,23,18,5
NZ_CP038397.1,5,7,3,4
NZ_CP036307.1,24,22,17,5
NZ_CP036306.1,21,22,19,3
NC_017942.1,1,6,2,4
NC_017944.1,4,8,2,6
NZ_CP038010.1,19,23,18,5
NZ_CP007613.1,9,7,4,3
NZ_CP007614.1,10,6,5,1
NZ_CP007615.1,16,27,17,10
NZ_CP007616.1,29,24,20,4
NZ_CP122838.1,9,12,2,10
NZ_CP122839.1,14,14,7,7
NZ_CP122842.1,23,22,7,15
NZ_CP122843.1,3,5,2,3
NZ_CP055220.1,14,12,6,6
NZ_CP055221.1,5,6,3,3
NZ_CP080561.1,4,4,4,0
NZ_CP015021.1,4,7,4,3
NZ_CP089235.1,14,19,11,8
NZ_CP096170.1,8,9,7,2
NZ_CP091973.1,12,9,6,3
NZ_CP060475.1,1,0,0,0
NZ_CP060474.1,1,0,0,0
NZ_CP060473.1,2,0,0,0
NZ_CP060472.1,4,6,5,1
NZ_CP060471.1,1,0,0,0
NC_008738.1,11,5,3,2
NC_008739.1,14,14,8,6
NC_010625.1,16,16,11,5
NC_010627.1,29,54,18,36
NZ_CP009967.1,25,40,32,8
NZ_CP009966.1,1,2,2,0
NZ_CP085765.1,5,7,6,1
NZ_CP085766.1,17,20,14,6
NZ_CP109974.1,20,30,16,14
NZ_CP109975.1,14,18,14,4
NZ_CP109976.1,6,8,5,3
NZ_CP031151.1,1,0,0,0
NZ_CP031152.1,2,2,1,1
NZ_CP114513.1,9,5,1,4
NZ_CP029575.1,26,23,17,6
NZ_CP084922.1,3,8,6,2
NZ_CP084924.1,2,6,2,4
NZ_CP099872.1,11,26,11,15
NZ_CP143343.1,5,4,4,0
NZ_OV753635.1,15,23,19,4
NZ_OV753636.1,12,14,12,2
NZ_OV753640.1,1,0,0,0
NZ_OV753637.1,5,7,3,4
NZ_CP010146.1,14,15,10,5
NZ_CP010147.1,6,13,7,6
NZ_AP018204.1,8,11,4,7
NZ_AP018205.1,29,32,15,17
NZ_AP018206.1,2,3,1,2
NZ_CP139977.1,7,17,5,12
NZ_AP018393.1,6,5,1,4
NZ_AP018394.1,7,6,3,3
NC_008697.1,2,1,1,0
NZ_CP011518.2,79,114,48,66
NZ_CP011519.2,24,33,18,15
NZ_CP011520.2,18,25,14,11
NZ_CP011521.2,4,4,3,1
NZ_CP023062.1,6,10,4,6
NC_018880.1,2,1,1,0
NC_018879.1,5,4,4,0
NC_018878.1,3,1,1,0
NZ_CP076174.1,5,10,5,5
NZ_LS992172.1,11,17,12,5
NZ_LS992173.1,1,0,0,0
NZ_CP084319.1,11,9,5,4
NZ_CP022007.1,18,15,10,5
NZ_CP022008.1,1,0,0,0
NZ_CP107384.1,20,24,16,8
NZ_CP107385.1,12,14,11,3
NZ_CP107387.1,6,7,5,2
NC_021828.1,9,4,3,1
NZ_LR882945.1,5,9,6,3
NZ_LR882947.1,1,0,0,0
NZ_LR882948.1,1,1,0,1
NZ_LT969519.1,24,17,16,1
NZ_LT969521.1,11,6,5,1
NZ_CP127154.1,24,30,18,12
NZ_CP127155.1,13,13,11,2
NZ_CP127156.1,6,6,5,1
NZ_CP121777.1,32,39,27,12
NZ_CP121778.1,7,3,2,1
NZ_CP121779.1,2,2,2,0
NZ_CP121780.1,2,1,0,1
NZ_CP121781.1,1,1,1,0
NZ_CP053992.1,4,6,3,3
NZ_CP017451.1,46,69,45,24
NZ_CP017452.1,11,13,8,5
NZ_CP091445.1,15,17,12,5
NZ_CP091446.1,1,0,0,0
NZ_CP008987.1,3,4,2,2
NZ_CP008988.1,4,3,2,1
NZ_AP019752.1,4,4,4,0
NZ_CP080035.1,1,0,0,0
NZ_CP100554.1,6,8,3,5
NZ_AP022031.1,4,5,5,0
NZ_CP010394.1,2,1,0,1
NZ_CP010393.1,16,21,14,7
NZ_CP010395.1,2,1,1,0
NZ_CP010396.1,18,13,9,4
NZ_CP013496.1,1,1,1,0
NZ_CP013497.1,22,28,12,16
NZ_CP013499.1,5,5,5,0
NZ_CP058715.1,8,4,0,4
NZ_CP058716.1,17,19,14,5
NZ_CP058717.1,18,18,14,4
NZ_CP058718.1,8,11,9,2
NZ_CP108566.1,27,31,17,14
NZ_CP054423.1,2,1,1,0
NZ_CP116146.1,14,20,16,4
NZ_CP116148.1,4,3,3,0
NZ_CP116147.1,5,5,5,0
NZ_CP090008.1,3,6,2,4
NZ_CP024910.1,36,28,26,2
NZ_CP104756.1,3,1,1,0
NZ_CP104345.1,36,31,15,16
NZ_CP083540.1,1,1,0,1
NZ_CP083542.1,1,0,0,0
NZ_CP063879.1,10,22,13,9
NZ_CP063880.1,7,10,5,5
NZ_CP038312.1,5,7,4,3
NZ_CP038311.1,5,3,2,1
NZ_CP014416.1,3,5,3,2
NZ_CP063488.1,29,43,27,16
NZ_CP063489.1,1,1,1,0
NZ_CP063490.1,1,2,2,0
NZ_AP024925.1,21,20,8,12
NZ_CP061572.1,25,28,22,6
NZ_CP061573.1,10,11,7,4
NZ_CP020003.1,1,1,1,0
NZ_CP020005.1,17,19,14,5
NZ_LN831037.1,1,1,1,0
NZ_LN831038.1,1,0,0,0
NZ_OX460325.1,2,3,1,2
NZ_OX460324.1,2,3,3,0
NZ_CP104737.1,5,6,5,1
NZ_CP128960.1,5,6,3,3
NZ_CP128961.1,3,2,1,1
NC_012987.1,16,21,10,11
NC_012989.1,2,3,3,0
NC_012654.1,10,7,4,3
NZ_CP071022.1,27,27,21,6
NZ_CP025502.1,2,0,0,0
NZ_CP025504.1,1,0,0,0
NZ_CP025503.1,3,0,0,0
NZ_CP053077.1,1,3,1,2
NZ_CP053076.1,4,4,4,0
NZ_CP083659.1,9,23,11,12
NZ_CP083660.1,8,10,9,1
NZ_CP083661.1,1,1,1,0
NZ_CP082814.1,3,2,1,1
NZ_CP118070.1,3,3,2,1
NZ_CP019733.1,4,7,4,3
NC_009475.1,11,8,7,1
NZ_CP035557.1,3,1,0,1
NZ_CP035558.1,3,3,1,2
NZ_CP035559.1,3,1,1,0
NZ_CP035560.1,1,2,1,1
NZ_CP035561.1,4,5,4,1
NZ_CP035562.1,1,2,1,1
NZ_CP025279.1,3,4,2,2
NZ_CP092407.1,26,30,24,6
NZ_CP099332.1,12,16,7,9
NZ_CP099333.1,13,12,8,4
NZ_CP099334.1,2,2,2,0
NZ_CP099335.1,3,1,1,0
NZ_CP099336.1,4,7,3,4
NZ_OX030702.1,5,6,2,4
NZ_OX030703.1,12,15,11,4
NZ_OX030704.1,4,4,4,0
NZ_AP027972.1,14,21,11,10
NZ_AP027973.1,5,6,3,3
NZ_AP027975.1,1,1,1,0
NZ_LR130516.1,3,3,2,1
NZ_CP110070.1,1,0,0,0
NZ_LR890396.1,24,27,18,9
NZ_CP086878.1,2,1,1,0
NZ_CP086879.1,28,25,12,13
NZ_CP086880.1,5,3,1,2
NZ_CP086881.1,2,0,0,0
NZ_CP086883.1,2,1,1,0
NZ_CP086884.1,9,10,6,4
NZ_CP086885.1,1,0,0,0
NZ_CP041209.1,9,9,8,1
NZ_CP093488.1,3,6,2,4
NZ_CP093487.1,5,9,5,4
NZ_CP016897.1,2,4,2,2
NZ_AP025924.1,28,28,24,4
NZ_CP035418.1,1,4,1,3
NZ_CP035419.1,2,1,1,0
NZ_CP035421.1,1,2,1,1
NZ_CP035423.1,1,0,0,0
NZ_CP035424.1,5,1,0,1
NZ_CP069506.1,2,8,6,2
NZ_CP065602.1,28,26,13,13
NZ_CP065603.1,21,20,13,7
NZ_CP101547.1,24,28,22,6
NZ_CP101548.1,9,9,8,1
NZ_CP101550.1,5,5,5,0
NZ_CP143313.1,9,3,2,1
NZ_CP032495.1,3,2,2,0
NZ_CP032497.1,1,1,1,0
NZ_CP032496.1,6,6,4,2
NZ_CP015160.1,15,17,12,5
NZ_CP015161.1,1,0,0,0
NZ_CP080234.1,5,12,1,11
NZ_CP130485.1,4,3,2,1
NZ_CP130484.1,1,0,0,0
NZ_CP130483.1,2,1,1,0
NZ_CP130482.1,8,5,2,3
NZ_CP130481.1,12,7,6,1
NZ_CP097412.1,24,28,20,8
NZ_CP097413.1,4,4,4,0
NZ_CP024119.1,1,1,0,1
NZ_CP024122.1,2,0,0,0
NZ_CP024522.1,28,25,22,3
NZ_CP024523.1,9,12,7,5
NZ_CP024524.1,17,19,13,6
NZ_CP081873.1,10,17,11,6
NZ_CP081874.1,11,13,5,8
NZ_CP100446.1,10,14,7,7
NZ_CP100447.1,1,1,1,0
NZ_CP047143.1,5,5,5,0
NZ_CP076857.1,12,12,11,1
NZ_CP065832.1,13,16,9,7
NZ_CP102391.1,18,29,17,12
NZ_CP102392.1,13,14,11,3
NZ_CP102394.1,6,8,5,3
NZ_CP134379.1,1,0,0,0
NZ_CP134377.1,16,20,8,12
NZ_CP134378.1,13,13,7,6
NZ_CP115458.1,16,10,4,6
NZ_CP115457.1,8,16,7,9
NZ_CP115460.1,1,0,0,0
NZ_CP115459.1,5,1,1,0
NZ_CP134725.1,1,5,2,3
NZ_CP134726.1,1,0,0,0
NZ_CP134727.1,1,0,0,0
NZ_CP053788.1,4,5,3,2
NZ_CP047172.1,1,1,1,0
NZ_CP014171.1,1,1,1,0
NZ_CP027339.1,18,22,8,14
NZ_CP116676.1,25,28,19,9
NZ_CP116677.1,21,25,18,7
NZ_CP116678.1,16,25,9,16
NZ_CP116679.1,1,2,0,2
NZ_CP034417.1,13,12,11,1
NZ_CP034416.1,19,29,16,13
NZ_AP027255.1,7,9,3,6
NZ_CP135451.1,21,27,23,4
NZ_CP135452.1,13,7,3,4
NZ_AP028103.1,1,1,0,1
NZ_CP064366.1,2,2,2,0
NZ_AP025856.1,30,30,25,5
NZ_CP009842.1,4,17,4,13
NZ_CP009843.1,4,6,4,2
NZ_CP142950.1,13,14,8,6
NZ_CP018843.1,2,1,1,0
NZ_CP077819.1,6,10,5,5
NZ_CP019949.1,7,7,2,5
NZ_CP096820.1,1,0,0,0
NZ_CP045760.1,3,3,3,0
NC_010418.1,2,2,2,0
NZ_CP047379.1,21,24,17,7
NZ_CP047380.1,16,28,12,16
NZ_CP047381.1,2,2,2,0
NZ_CP047382.1,1,0,0,0
NZ_CP015365.1,2,3,2,1
NZ_CP015366.1,3,3,3,0
NZ_CP104679.1,39,44,25,19
NZ_CP104680.1,7,11,8,3
NZ_CP092464.1,26,34,25,9
NZ_CP092465.1,5,7,5,2
NZ_CP107346.1,20,24,16,8
NZ_CP107347.1,12,14,11,3
NZ_CP107349.1,6,7,5,2
NZ_CP010697.1,2,2,1,1
NZ_CP010698.1,4,2,2,0
NZ_CP010699.1,1,1,0,1
NZ_CP010700.1,1,1,1,0
NZ_CP026232.1,7,4,4,0
NZ_CP026233.1,17,14,12,2
NZ_CP026234.1,27,21,18,3
NZ_CP073977.1,10,6,5,1
NZ_CP073978.1,12,16,13,3
NZ_CP073979.1,1,0,0,0
NZ_CP139283.1,26,23,16,7
NZ_CP018662.1,3,2,0,2
NZ_CP018663.1,3,3,2,1
NZ_CP035268.1,4,5,1,4
NZ_CP056236.1,33,30,26,4
NZ_CP040462.1,6,4,2,2
NZ_CP056521.1,12,11,10,1
NZ_CP056522.1,10,14,9,5
NZ_LR130556.1,13,14,11,3
NZ_LR130560.1,1,0,0,0
NZ_CP121366.1,12,16,12,4
NZ_CP121367.1,1,1,1,0
NZ_CP121369.1,1,1,0,1
NZ_CP070132.1,1,2,1,1
NZ_CP070133.1,22,24,15,9
NZ_CP070135.1,1,1,1,0
NZ_CP070137.1,4,5,2,3
NZ_CP039896.1,10,17,5,12
NC_022354.1,2,1,1,0
NC_011092.1,18,20,13,7
NZ_CP023903.1,16,17,11,6
NZ_CP023895.1,6,7,6,1
NZ_CP023896.1,2,2,1,1
NZ_CP023897.1,4,4,3,1
NZ_CP023900.1,4,4,2,2
NZ_CP061566.1,7,12,9,3
NZ_CP080540.1,35,32,24,8
NZ_CP080541.1,12,11,10,1
NZ_AP024146.1,9,10,2,8
NZ_AP024149.1,2,1,0,1
NZ_CP088139.1,12,8,3,5
NZ_CP088140.1,1,0,0,0
NZ_CP039260.1,7,8,7,1
NZ_CP076220.1,4,10,5,5
NZ_CP090532.1,2,2,2,0
NZ_CP090530.1,14,14,10,4
NZ_CP069862.1,7,6,4,2
NZ_CP069863.1,29,36,28,8
NZ_CP010192.1,3,10,4,6
NZ_CP077239.1,8,11,6,5
NZ_CP140895.1,117,140,101,39
NZ_CP140897.1,22,20,14,6
NZ_CP140898.1,5,12,2,10
NZ_CP140899.1,23,56,22,34
NZ_CP024283.1,3,1,1,0
NZ_CP024285.1,18,10,6,4
NZ_CP024286.1,10,9,5,4
NZ_CP024287.1,11,8,5,3
NZ_CP024288.1,3,2,0,2
NZ_CP110304.1,5,7,4,3
NZ_CP110305.1,6,11,1,10
NZ_CP124501.1,7,5,4,1
NZ_CP030066.1,18,24,18,6
NZ_CP030067.1,5,7,5,2
NZ_CP030068.1,13,10,5,5
NZ_CP050507.1,21,17,13,4
NZ_CP046026.1,5,8,6,2
NZ_CP138529.1,16,16,14,2
NZ_CP138530.1,6,5,3,2
NZ_CP017750.1,31,26,14,12
NZ_CP135220.1,14,18,12,6
NC_010488.1,20,24,18,6
NZ_CP085864.1,4,4,4,0
NZ_CP018832.1,42,49,37,12
NZ_CP018831.1,9,10,8,2
NZ_CP018834.1,2,1,1,0
NZ_CP026843.1,17,39,18,21
NZ_CP097290.1,1,2,1,1
NZ_CP053913.1,4,3,3,0
NZ_CP010708.1,1,3,1,2
NZ_CP010713.1,2,3,1,2
NZ_CP012956.1,11,12,10,2
NZ_CP098215.1,12,19,15,4
NZ_CP091222.1,21,27,22,5
NZ_CP091223.1,5,6,4,2
NZ_CP054721.1,18,29,16,13
NZ_CP054722.1,11,12,9,3
NZ_CP054723.1,7,7,6,1
NZ_CP035386.1,14,12,10,2
NZ_CP035387.1,6,8,6,2
NZ_CP137550.1,11,13,6,7
NZ_CP039142.1,2,7,2,5
NZ_CP039140.1,4,8,3,5
NC_016585.1,10,12,9,3
NC_016586.1,12,12,6,6
NC_016623.1,4,5,4,1
NC_016587.1,6,7,3,4
NC_016624.1,8,8,5,3
NC_016588.1,8,6,3,3
NC_021516.1,1,0,0,0
NC_021526.1,7,7,4,3
NC_021517.1,6,9,6,3
NC_021518.1,6,10,6,4
NC_021527.1,7,6,5,1
NC_021519.1,10,6,3,3
NC_021528.1,1,2,1,1
NZ_CP036462.1,1,1,0,1
NZ_CP036463.1,1,2,1,1
NZ_CP036465.1,1,0,0,0
NZ_CP055154.1,7,0,0,0
NZ_CP055155.1,6,3,1,2
NZ_CP077771.1,2,0,0,0
NZ_CP058870.1,18,19,17,2
NZ_CP058871.1,18,24,15,9
NZ_CP058872.1,4,4,1,3
NZ_CP110370.1,17,24,17,7
NZ_CP058129.1,8,8,7,1
NZ_CP058130.1,3,2,1,1
NC_002128.1,6,6,3,3
NZ_CP016381.1,15,16,13,3
NZ_CP090650.1,18,17,15,2
NZ_CP049906.1,2,3,1,2
NZ_CP121138.1,25,35,24,11
NZ_CP017632.1,36,36,29,7
NZ_CP017633.1,13,14,12,2
NZ_CP009008.1,3,4,2,2
NZ_CP009009.1,4,3,2,1
NZ_CP046873.1,8,7,1,6
NZ_CP096977.1,1,1,0,1
NZ_CP096978.1,14,19,9,10
NZ_CP096979.1,1,2,2,0
NC_022570.1,3,3,2,1
NZ_CP020948.1,2,4,1,3
NZ_CP020949.1,4,2,2,0
NZ_CP020950.1,16,31,17,14
NZ_CP020951.1,2,2,2,0
NZ_CP020952.1,4,4,4,0
NZ_CP094757.1,3,5,1,4
NZ_LR890467.1,19,20,16,4
NZ_CP021284.1,6,3,2,1
NZ_CP021285.1,1,1,1,0
NZ_CP101223.1,8,11,6,5
NZ_CP101227.1,1,0,0,0
NZ_CP101225.1,4,2,2,0
NZ_CP101224.1,7,9,8,1
NZ_CP122497.1,3,4,2,2
NZ_CP122498.1,4,2,1,1
NZ_CP016857.1,3,5,3,2
NZ_CP109615.1,11,6,2,4
NZ_LR215045.1,2,2,0,2
NZ_LR215046.1,1,1,0,1
NZ_CP044066.1,4,6,2,4
NZ_CP023389.1,5,2,0,2
NZ_CP090243.1,15,22,12,10
NZ_CP055053.1,2,7,3,4
NZ_CP055054.1,1,1,1,0
NZ_CP087652.1,21,30,17,13
NZ_CP087653.1,13,13,11,2
NZ_CP087654.1,16,15,13,2
NZ_CP085731.1,12,5,4,1
NZ_CP085732.1,34,45,25,20
NZ_CP085733.1,4,4,3,1
NZ_CP102824.1,9,6,4,2
NZ_CP040928.1,23,28,23,5
NZ_CP040929.1,8,7,5,2
NZ_CP038877.1,75,83,47,36
NZ_CP038878.1,17,14,10,4
NZ_CP038879.1,9,11,5,6
NZ_CP038880.1,2,3,1,2
NZ_CP029268.1,1,4,1,3
NZ_CP029269.1,4,8,5,3
NZ_AP018921.1,21,14,14,0
NZ_CP030782.1,4,7,4,3
NZ_CP125085.1,14,25,10,15
NZ_CP084987.1,37,32,26,6
NZ_CP084988.1,10,5,1,4
NZ_CP086406.1,6,7,5,2
NZ_CP086407.1,1,2,0,2
NZ_AP019635.1,19,37,11,26
NZ_CP032915.1,35,32,21,11
NZ_CP130278.1,5,5,4,1
NZ_CP034581.2,3,2,1,1
NZ_CP016734.2,4,7,4,3
NZ_CP016736.2,1,2,1,1
NZ_CP130279.1,1,1,1,0
NZ_CP065402.1,14,23,14,9
NC_014226.1,1,1,0,1
NZ_CP010856.1,5,7,3,4
NZ_CP010857.1,7,10,4,6
NZ_CP010858.1,6,4,2,2
NZ_CP010861.1,2,0,0,0
NZ_CP102193.1,24,27,19,8
NZ_CP102196.1,23,19,14,5
NZ_CP102194.1,7,7,5,2
NZ_CP128493.1,32,30,18,12
NZ_CP092645.1,1,2,1,1
NZ_CP092646.1,12,17,15,2
NZ_CP128847.1,5,5,3,2
NZ_CP013228.1,4,5,5,0
NZ_CP013229.1,1,5,5,0
NZ_CP013230.1,1,3,3,0
NZ_CP051544.1,5,4,2,2
NZ_CP051543.1,9,10,7,3
NZ_CP018726.1,1,0,0,0
NZ_CP018727.1,1,1,0,1
NZ_JAPVBX010000002.1,10,12,6,6
NZ_CP027696.1,14,22,14,8
NZ_CP027695.1,10,10,8,2
NZ_CP027699.1,3,2,2,0
NZ_CP027700.1,1,0,0,0
NZ_CP031258.1,14,19,11,8
NZ_CP031259.1,2,4,1,3
NZ_CP031261.1,4,5,4,1
NZ_CP031262.1,3,4,2,2
NZ_CP054261.1,6,3,1,2
NZ_CP026400.1,4,4,2,2
NZ_CP026401.1,3,2,1,1
NZ_CP026405.1,21,18,13,5
NZ_CP026403.1,8,9,8,1
NZ_CP026404.1,26,22,19,3
NZ_CP110113.1,4,3,2,1
NZ_CP015319.1,3,1,0,1
NZ_CP015320.1,1,1,0,1
NZ_CP015322.1,45,75,24,51
NZ_CP012534.1,2,2,2,0
NZ_CP043355.1,8,6,5,1
NZ_CP043354.1,14,15,11,4
NZ_CP124493.1,1,1,0,1
NZ_CP124494.1,11,13,7,6
NZ_CP039061.1,66,82,55,27
NZ_CP039062.1,3,7,1,6
NZ_CP039063.1,16,18,13,5
NZ_CP039064.1,10,11,9,2
NZ_CP046503.1,25,33,26,7
NZ_CP046504.1,10,8,7,1
NZ_CP046505.1,5,8,5,3
NZ_CP046506.1,2,4,1,3
NZ_CP088132.1,19,19,14,5
NZ_CP088133.1,8,10,6,4
NZ_CP084778.1,4,5,4,1
NZ_CP033351.2,7,7,7,0
NZ_CP127033.1,22,27,9,18
NZ_CP127031.1,11,5,4,1
NZ_CP089160.1,3,3,3,0
NZ_CP029435.1,13,15,10,5
NZ_CP029434.1,6,1,0,1
NZ_CP029436.1,30,22,18,4
NZ_CP053056.1,9,5,5,0
NZ_CP053606.1,12,12,8,4
NZ_CP043218.1,7,4,2,2
NZ_CP043219.1,7,9,8,1
NZ_CP043220.1,1,1,0,1
NZ_CP023307.1,1,3,1,2
NZ_AP022377.1,6,3,3,0
NZ_CP038454.1,25,22,15,7
NZ_CP038455.1,12,12,9,3
NZ_CP038456.1,15,20,15,5
NZ_CP038458.1,7,6,5,1
NZ_CP038459.1,4,4,4,0
NZ_CP061055.1,14,19,9,10
NZ_CP061056.1,2,2,1,1
NZ_CP061057.1,2,2,2,0
NZ_CP061059.1,1,1,1,0
NZ_CP115956.1,62,80,68,12
NZ_CP058973.1,5,4,3,1
NZ_AP022666.1,26,21,17,4
NZ_AP022667.1,29,34,27,7
NZ_CP041271.2,32,35,27,8
NZ_CP041272.1,4,2,2,0
NZ_CP041273.1,6,4,3,1
NZ_CP041279.2,11,9,8,1
NZ_CP041278.1,1,1,0,1
NZ_CP103984.1,4,4,2,2
NZ_CP034112.1,1,1,0,1
NZ_CP034113.1,3,3,1,2
NZ_CP139138.1,4,1,1,0
NZ_OW970316.1,6,7,7,0
NZ_OW970317.1,8,5,4,1
NZ_OW970318.1,1,0,0,0
NZ_OW970319.1,5,7,7,0
NZ_CP012923.1,5,6,2,4
NZ_CP126324.1,4,4,1,3
NZ_CP056645.1,30,26,21,5
NZ_CP056646.1,1,0,0,0
NZ_CP102066.1,4,6,4,2
NZ_CP102067.1,3,3,3,0
NZ_CP102068.1,3,3,3,0
NZ_CP074043.1,3,4,3,1
NZ_CP074044.1,8,6,6,0
NZ_CP074045.1,1,1,1,0
NZ_CP077671.1,23,28,17,11
NZ_CP010885.1,1,1,1,0
NZ_CP010886.1,1,1,0,1
NZ_AP024348.1,6,5,4,1
NZ_CP058181.1,9,11,6,5
NZ_CP058182.1,9,8,6,2
NZ_CP058183.1,6,10,5,5
NZ_CP058184.1,1,1,0,1
NZ_CP009525.1,2,4,3,1
NZ_CP073772.1,16,16,11,5
NZ_CP073773.1,11,11,6,5
NZ_CP073774.1,4,4,3,1
NZ_CP100306.1,2,1,1,0
NZ_CP060738.1,17,19,15,4
NZ_CP060739.1,6,4,4,0
NZ_CP132227.1,13,11,11,0
NZ_CP020499.1,13,14,7,7
NZ_CP020500.1,18,12,9,3
NZ_CP099632.1,1,1,0,1
NZ_CP125630.1,1,1,1,0
NZ_CP125632.1,1,1,1,0
NZ_CP125634.1,1,1,1,0
NZ_CP079870.1,4,2,1,1
NZ_CP079879.1,1,1,1,0
NZ_CP079871.1,8,10,8,2
NZ_CP079876.1,1,0,0,0
NZ_CP087332.1,9,8,4,4
NZ_CP087333.1,2,2,2,0
NZ_CP129737.1,8,10,9,1
NZ_CP129738.1,10,9,5,4
NZ_CP129736.1,1,1,0,1
NZ_CP129735.1,5,3,3,0
NZ_CP082334.1,3,4,0,4
NZ_CP104972.1,17,25,15,10
NZ_CP104971.1,5,6,4,2
NZ_CP104970.1,10,11,5,6
NZ_CP104969.1,5,3,1,2
NZ_CP033339.1,9,9,4,5
NZ_CP017618.1,3,3,2,1
NZ_CP034308.1,4,3,2,1
NZ_CP024678.1,1,1,1,0
NZ_CP065616.1,41,50,34,16
NZ_CP045568.1,8,8,4,4
NZ_CP045569.1,1,1,1,0
NZ_CP061092.1,29,47,24,23
NZ_CP061094.1,6,6,3,3
NZ_CP061095.1,11,10,6,4
NZ_CP061096.1,3,8,2,6
NZ_CP061097.1,9,6,4,2
NZ_CP061098.1,3,3,2,1
NZ_CP061099.1,5,8,3,5
NZ_CP010055.1,1,0,0,0
NZ_CP010057.1,4,0,0,0
NZ_OX291533.1,5,4,4,0
NZ_OX291534.1,2,2,1,1
NZ_CP065038.1,4,14,8,6
NZ_CP058158.1,8,12,5,7
NZ_CP075918.1,3,2,2,0
NZ_CP075920.1,1,0,0,0
NZ_CP039202.1,74,87,40,47
NZ_CP039203.1,2,4,0,4
NZ_CP032137.1,18,6,4,2
NZ_CP096825.1,5,9,6,3
NZ_CP095282.1,6,3,3,0
NZ_CP095281.1,7,7,3,4
NZ_CP095285.1,2,3,2,1
NZ_CP067128.1,11,12,6,6
NZ_CP067127.1,10,16,5,11
NZ_CP067126.1,16,14,6,8
NZ_CP067125.1,3,3,0,3
NZ_CP034100.1,10,7,4,3
NZ_CP069224.2,7,8,8,0
NZ_CP069225.2,6,8,5,3
NZ_CP069226.2,3,3,2,1
NZ_CP069227.1,6,5,5,0
NC_013210.1,32,45,34,11
NC_013211.1,25,36,25,11
NC_013212.1,8,7,7,0
NZ_CP030940.1,16,17,11,6
NZ_CP018313.1,8,10,9,1
NZ_CP018318.1,7,6,5,1
NZ_CP018315.1,4,2,2,0
NZ_CP018316.1,10,11,5,6
NZ_CP008817.1,9,13,5,8
NZ_CP008818.1,14,12,10,2
NZ_CP077309.1,6,3,2,1
NZ_CP133114.1,1,1,1,0
NZ_CP103778.1,13,24,15,9
NZ_CP103779.1,11,14,9,5
NZ_CP096701.1,2,4,2,2
NZ_CP028560.1,22,33,26,7
NZ_CP028558.1,1,1,1,0
NZ_CP034238.1,10,12,11,1
NZ_CP034239.1,2,5,1,4
NZ_CP039706.1,6,7,4,3
NZ_CP066236.1,1,1,0,1
NZ_CP031186.1,4,5,3,2
NZ_CP031187.1,2,4,4,0
NZ_CP071605.1,7,6,1,5
NZ_CP071606.1,10,11,5,6
NZ_CP071607.1,11,7,2,5
NZ_CP071608.1,27,24,11,13
NZ_CP071609.1,9,6,2,4
NZ_CP071610.1,16,23,8,15
NZ_CP082364.1,12,8,4,4
NZ_AP022535.1,13,13,11,2
NZ_CP033536.1,2,9,5,4
NZ_CP033537.1,1,16,8,8
NZ_CP083797.1,39,37,26,11
NZ_CP083798.1,12,12,12,0
NZ_CP060003.1,4,10,5,5
NZ_CP126261.1,1,3,2,1
NZ_CP100408.1,2,4,3,1
NZ_CP100409.1,13,14,6,8
NZ_CP100410.1,1,1,0,1
NZ_CP128940.1,14,13,12,1
NZ_CP128941.1,14,17,14,3
NZ_CP128943.1,2,2,1,1
NZ_CP128942.1,2,0,0,0
NZ_CP104682.1,14,9,4,5
NZ_CP104683.1,25,33,24,9
NZ_CP032693.1,4,4,2,2
NZ_CP032692.1,48,45,31,14
NZ_CP032691.1,9,17,8,9
NZ_CP032690.1,15,17,9,8
NZ_CP073950.1,21,30,20,10
NZ_CP073951.1,1,1,1,0
NZ_CP046163.1,4,2,2,0
NZ_CP048516.1,1,2,2,0
NZ_CP048515.1,1,10,2,8
NZ_LR213453.1,4,4,4,0
NZ_LR213454.1,6,8,6,2
NZ_CP035827.1,17,29,10,19
